message	pattern
Secret column; hash, encrypt, or vault	\bCREATE\s+TABLE\b.+\b(password|secret|token|ssn|credit_card|cvv|pin)\b.+\b(VARCHAR|TEXT|CHAR)\b
Self-approval risk; separate creator and approver	\bUPDATE\s+.*?\bSET\s+.*?\b(approved_by|status)\b.*?\bWHERE\b.*?\bcreated_by\b
PII projection; select only needed masked fields	\bSELECT\b[^;]*\b(email|ssn|social_security|credit_card|cc_num|passport)\b
Cross-database access; use approved integration	\b(DBLINK|OPENROWSET|CREATE\s+SERVER|CREATE\s+FOREIGN\s+TABLE)\b
Large text column; compress or externalize	\bCREATE\s+TABLE\b[^;]*\b(VARCHAR\s*\(\s*\d{4,}\)|TEXT|CLOB|NVARCHAR\s*\(MAX\)|LONGTEXT)\b
Distributed transaction; use saga or outbox	\b(BEGIN\s+DISTRIBUTED\s+TRANSACTION|XA\s+START|START\s+TRANSACTION\s+WITH\s+CONSISTENT\s+SNAPSHOT)\b
Many indexes; consolidate by query plan	(CREATE\s+INDEX\s+\w+\s+ON\s+\w+[\s\S]*?){3,}
Composite index order; use filter/sort order	\bCREATE\s+INDEX\s+\w+\s+ON\s+\w+\s*\((\w+)\s*,\s*(\w+)
Unfiltered COUNT(*); cache, estimate, or filter	\bSELECT\s+COUNT\s*\(\s*\*\s*\)\s+FROM\b
Cursor loop; use set-based or batched SQL	\bDECLARE\s+\w+\s+CURSOR\b
Forced full scan; remove hint or add index	\b(?:FULL\s+TABLE\s+SCAN|full_table_scan)\b
Bulk unload; restrict destination and columns	\bUNLOAD\b
Lateral flatten; filter before expanding	\bLATERAL\s+FLATTEN\s*\(
Subquery ORDER BY; move outward or add LIMIT	\(\s*SELECT\b[^)]+\bORDER\s+BY\b
Row-by-row DML loop; batch by keys	\bWHILE\b[\s\S]*?\b(UPDATE|DELETE)\b[\s\S]*?\bEND\b
DISTINCT after UNNEST; dedupe before expansion	\bSELECT\s+DISTINCT\b.*\bUNNEST\s*\(
Regex match; use LIKE, ranges, or search index	\bREGEXP_(?:CONTAINS|EXTRACT|REPLACE)\s*\(
Async mutation; batch or swap partitions	\bALTER\s+TABLE\s+\w+\s+(?:UPDATE|DELETE)\b
Procedural loop; use set-based or batches	\bWHILE\s+[\(@].*\bBEGIN\b
Nested-loop hint; remove or prove with indexes	\b(LOOP\s+JOIN|INNER\s+LOOP\s+JOIN|LEFT\s+LOOP\s+JOIN|OPTION\s*\(\s*LOOP\s+JOIN\s*\))
Large IN list; join temp table, use multiple queries	\bIN\s*\(\s*(?:[^()]*,\s*){9,}
Optimizer hint; remove unless plan-proven	\bOPTION\s*\(\s*(FORCE\s+ORDER|HASH\s+JOIN|MERGE\s+JOIN|LOOP\s+JOIN|FAST\s+\d+|RECOMPILE|OPTIMIZE\s+FOR|MAXDOP|QUERYTRACEON|USE\s+PLAN)\b
Index hint; remove or revalidate stats	\b(FORCE\s+INDEX|USE\s+INDEX|IGNORE\s+INDEX|WITH\s*\(\s*INDEX\s*[=(])\b
MAXDOP hint; use tested configuration	\bOPTION\s*\([^)]*MAXDOP\s+\d+
Leading wildcard LIKE; use search/trigram index	\b(?:I?LIKE)\s+N?['\"]%[^'\"]*['\"]
Large OFFSET; use keyset pagination	\bOFFSET\s+([1-9]\d{3,})\b
Restrictive lock hint; narrow lock scope	\bWITH\s*\(\s*(TABLOCK|TABLOCKX|HOLDLOCK|XLOCK|PAGLOCK|ROWLOCK|UPDLOCK|SERIALIZABLE)\s*\)
Dirty-read hint; use consistent isolation	\bWITH\s*\(\s*(NOLOCK|READUNCOMMITTED)\s*\)|\bREAD\s+UNCOMMITTED\b|\bSET\s+TRANSACTION\s+ISOLATION\s+LEVEL\s+READ\s+UNCOMMITTED\b
Long transaction; split into small commits	\bBEGIN\s+(TRAN|TRANSACTION)\b[\s\S]{500,}?\b(COMMIT|ROLLBACK)\b
SELECT INTO temp; filter, project, index	\bSELECT\b[^;]*\bINTO\s+[#@\w]+
ORDER BY RAND(); sample by indexed key	\bORDER\s+BY\s+RAND\s*\(\s*\)
ILIKE filter; add functional/trigram index	\bILIKE\b
Comma join; use explicit JOIN ON	\bFROM\s+\w+\s*,\s*\w+\b
NOT IN nullable; use NOT EXISTS	\bNOT\s+IN\s*\(\s*SELECT\b
Scalar UDF; inline or use inline TVF	\b(SELECT|WHERE)\b[^;]*\bdbo\.\w+\s*\([^)]*\)
Semi-structured filter; extract indexed typed column	\bWHERE\b.*:[\w.]+
Semi-structured sort; materialize indexed sort key	\bORDER\s+BY\b.*:[\w.]+
Broadcast join hint; remove unless build is small	/\*\+\s*BROADCAST\s*\(
JOIN cast; align types or cast constants	\bJOIN\b.*\bCONVERT\s*\(|\bCAST\s*\(.*\bJOIN\b
WAITFOR delay; move backoff to caller	\bWAITFOR\s+DELAY\b
Repeated ALTER TABLE; combine compatible changes	(?:\bALTER\s+TABLE\s+[^;]+;[\s\S]*?){2,}
SELECT *; list required columns	\bSELECT\s+(?:DISTINCT\s+|ALL\s+|TOP\s+\d+\s+)?\*(?:\s|,|$)
Always-true filter; remove or replace predicate	\bWHERE\s+(?:1\s*=\s*1|TRUE)\b
Low-selectivity IS NOT NULL; add selective filter	\bWHERE\s+\w+\s+IS\s+NOT\s+NULL\b
Loose join; add precise ON predicate	\bCROSS\s+JOIN\b|\bNATURAL\s+(?:INNER\s+|LEFT\s+|RIGHT\s+|FULL\s+)?JOIN\b|\bFROM\s+[\w\."`]+(?:\s+(?:AS\s+)?[\w"`]+)?\s*,\s*[\w\."`]+
